AÑO;MES;DIA;HORA;IDEAM
2006;1;1;0;0
2006;1;1;1;0
2006;1;1;2;0
2006;1;1;3;0
2006;1;1;4;0
2006;1;1;5;0
2006;1;1;6;0
2006;1;1;7;2.052.367.784
2006;1;1;8;145.826.132
2006;1;1;9;3.305.392.326
2006;1;1;10;5.498.185.275
2006;1;1;11;6.967.248.531
2006;1;1;12;7.788.195.645
2006;1;1;13;7.982.630.487
2006;1;1;14;5.519.789.146
2006;1;1;15;6.297.528.517
2006;1;1;16;4.526.011.061
2006;1;1;17;2.452.039.405
2006;1;1;18;5.076.909.782
2006;1;1;19;0
2006;1;1;20;0
2006;1;1;21;0
2006;1;1;22;0
2006;1;1;23;0
2006;1;2;0;0
2006;1;2;1;0
2006;1;2;2;0
2006;1;2;3;0
2006;1;2;4;0
2006;1;2;5;0
2006;1;2;6;1.080.193.571
2006;1;2;7;259.246.457
2006;1;2;8;176.071.552
2006;1;2;9;3.467.421.362
2006;1;2;10;5.519.789.146
2006;1;2;11;7.042.862.081
2006;1;2;12;7.831.403.387
2006;1;2;13;802.583.823
2006;1;2;14;7.528.949.188
2006;1;2;15;626.512.271
2006;1;2;16;3.996.716.212
2006;1;2;17;2.106.377.463
2006;1;2;18;5.076.909.782
2006;1;2;19;0
2006;1;2;20;0
2006;1;2;21;0
2006;1;2;22;0
2006;1;2;23;0
2006;1;3;0;0
2006;1;3;1;0
2006;1;3;2;0
2006;1;3;3;0
2006;1;3;4;0
2006;1;3;5;0
2006;1;3;6;0
2006;1;3;7;2.160.387.141
2006;1;3;8;1.263.826.478
2006;1;3;9;2.905.720.705
2006;1;3;10;4.839.267.197
2006;1;3;11;7.334.514.345
2006;1;3;12;7.917.818.873
2006;1;3;13;7.075.267.888
2006;1;3;14;795.022.468
2006;1;3;15;6.481.161.424
2006;1;3;16;4.601.624.611
2006;1;3;17;2.484.445.213
2006;1;3;18;5.184.929.139
2006;1;3;19;0
2006;1;3;20;0
2006;1;3;21;0
2006;1;3;22;0
2006;1;3;23;0
2006;1;4;0;0
2006;1;4;1;0
2006;1;4;2;0
2006;1;4;3;0
2006;1;4;4;0
2006;1;4;5;0
2006;1;4;6;0
2006;1;4;7;2.715.266.293
2006;1;4;8;1.284.399.124
2006;1;4;9;7.345.316.281
2006;1;4;10;2.970.532.319
2006;1;4;11;3.888.696.854
2006;1;4;12;4.677.238.161
2006;1;4;13;7.302.108.538
2006;1;4;14;5.379.363.982
2006;1;4;15;3.510.629.105
2006;1;4;16;1.695.903.906
2006;1;4;17;1.955.150.363
2006;1;4;18;4.752.851.711
2006;1;4;19;0
2006;1;4;20;0
2006;1;4;21;0
2006;1;4;22;0
2006;1;4;23;0
2006;1;5;0;0
2006;1;5;1;0
2006;1;5;2;0
2006;1;5;3;0
2006;1;5;4;0
2006;1;5;5;0
2006;1;5;6;0
2006;1;5;7;1.915.266.293
2006;1;5;8;367.265.814
2006;1;5;9;8.533.529.208
2006;1;5;10;2.171.189.077
2006;1;5;11;5.055.305.911
2006;1;5;12;3.121.759.419
2006;1;5;13;6.297.528.517
2006;1;5;14;7.961.026.616
2006;1;5;15;2.657.276.184
2006;1;5;16;221.439.682
2006;1;5;17;1.847.131.006
2006;1;5;18;3.564.638.783
2006;1;5;19;0
2006;1;5;20;0
2006;1;5;21;0
2006;1;5;22;0
2006;1;5;23;0
2006;1;6;0;0
2006;1;6;1;0
2006;1;6;2;0
2006;1;6;3;0
2006;1;6;4;0
2006;1;6;5;0
2006;1;6;6;0
2006;1;6;7;1.415.266.293
2006;1;6;8;1.155.807.121
2006;1;6;9;2.938.126.512
2006;1;6;10;3.856.291.047
2006;1;6;11;3.024.541.998
2006;1;6;12;3.769.875.562
2006;1;6;13;618.950.916
2006;1;6;14;5.163.325.268
2006;1;6;15;5.292.948.496
2006;1;6;16;1.188.212.928
2006;1;6;17;2.095.575.527
2006;1;6;18;3.888.696.854
2006;1;6;19;0
2006;1;6;20;0
2006;1;6;21;0
2006;1;6;22;0
2006;1;6;23;0
2006;1;7;0;0
2006;1;7;1;0
2006;1;7;2;0
2006;1;7;3;0
2006;1;7;4;0
2006;1;7;5;0
2006;1;7;6;0
2006;1;7;7;1.512.270.999
2006;1;7;8;7.453.335.638
2006;1;7;9;3.056.947.805
2006;1;7;10;4.547.614.933
2006;1;7;11;7.096.871.759
2006;1;7;12;8.285.084.687
2006;1;7;13;6.610.784.653
2006;1;7;14;6.437.953.681
2006;1;7;15;656.757.691
2006;1;7;16;4.752.851.711
2006;1;7;17;1.058.589.699
2006;1;7;18;2.700.483.927
2006;1;7;19;0
2006;1;7;20;0
2006;1;7;21;0
2006;1;7;22;0
2006;1;7;23;0
2006;1;8;0;0
2006;1;8;1;0
2006;1;8;2;0
2006;1;8;3;0
2006;1;8;4;0
2006;1;8;5;0
2006;1;8;6;0
2006;1;8;7;183.632.907
2006;1;8;8;1.490.667.128
2006;1;8;9;3.413.411.683
2006;1;8;10;4.623.228.483
2006;1;8;11;5.033.702.039
2006;1;8;12;6.783.615.624
2006;1;8;13;8.015.036.295
2006;1;8;14;7.550.553.059
2006;1;8;15;6.437.953.681
2006;1;8;16;4.255.962.669
2006;1;8;17;2.160.387.141
2006;1;8;18;6.481.161.424
2006;1;8;19;0
2006;1;8;20;0
2006;1;8;21;0
2006;1;8;22;0
2006;1;8;23;0
2006;1;9;0;0
2006;1;9;1;0
2006;1;9;2;0
2006;1;9;3;0
2006;1;9;4;0
2006;1;9;5;0
2006;1;9;6;0
2006;1;9;7;2.052.367.784
2006;1;9;8;1.641.894.227
2006;1;9;9;3.705.063.947
2006;1;9;10;5.606.204.632
2006;1;9;11;7.075.267.888
2006;1;9;12;7.961.026.616
2006;1;9;13;817.706.533
2006;1;9;14;772.338.403
2006;1;9;15;6.545.973.038
2006;1;9;16;4.914.880.747
2006;1;9;17;2.851.711.027
2006;1;9;18;7.345.316.281
2006;1;9;19;0
2006;1;9;20;0
2006;1;9;21;0
2006;1;9;22;0
2006;1;9;23;0
2006;1;10;0;0
2006;1;10;1;0
2006;1;10;2;0
2006;1;10;3;0
2006;1;10;4;0
2006;1;10;5;0
2006;1;10;6;1.080.193.571
2006;1;10;7;2.376.425.856
2006;1;10;8;1.663.498.099
2006;1;10;9;3.651.054.269
2006;1;10;10;5.562.996.889
2006;1;10;11;618.950.916
2006;1;10;12;7.550.553.059
2006;1;10;13;8.241.876.944
2006;1;10;14;7.842.205.323
2006;1;10;15;6.589.180.781
2006;1;10;16;488.247.494
2006;1;10;17;2.765.295.541
2006;1;10;18;6.913.238.852
2006;1;10;19;0
2006;1;10;20;0
2006;1;10;21;0
2006;1;10;22;0
2006;1;10;23;0
2006;1;11;0;0
2006;1;11;1;0
2006;1;11;2;0
2006;1;11;3;0
2006;1;11;4;0
2006;1;11;5;0
2006;1;11;6;0
2006;1;11;7;2.160.387.141
2006;1;11;8;1.220.618.735
2006;1;11;9;359.704.459
2006;1;11;10;4.968.890.425
2006;1;11;11;7.140.079.502
2006;1;11;12;8.079.847.909
2006;1;11;13;8.457.915.658
